Cliente_ID,Nome_Cliente,CNPJ_CPF,Data_Vencimento,Valor_Devido,Valor_Pago,Cidade,Regiao
2001,Cliente 2001,11.222.333/0001-99,2025-09-22,93865.42,140372.63,Rio,Sudeste
2002,Cliente 2002,22.333.444/0001-88,2025-12-18,1415.79,109484.64,São Paulo,Sudeste
2003,Cliente 2003,22.333.444/0001-88,2026-04-02,11931.62,55945.25,BH,Sul
2004,Cliente 2004,22.333.444/0001-88,2025-04-05,4392.7,22626.3,Rio,Sul
2005,Cliente 2005,22.333.444/0001-88,2023-08-04,8278.96,146722.76,São Paulo,Sul
2006,Cliente 2006,11.222.333/0001-99,2026-04-21,2409.17,87674.44,São Paulo,Sul
2007,Cliente 2007,22.333.444/0001-88,2024-10-18,24981.35,28853.49,Rio,Sul
2008,Cliente 2008,11.222.333/0001-99,2025-07-23,8933.7,102247.95,São Paulo,Sul
2009,Cliente 2009,11.222.333/0001-99,2026-01-18,9288.1,13807.28,São Paulo,Sul
2010,Cliente 2010,11.222.333/0001-99,2023-11-07,5644.58,130205.59,São Paulo,Sul
2011,Cliente 2011,11.222.333/0001-99,2024-07-10,28519.57,13520.6,BH,Sudeste
2012,Cliente 2012,11.222.333/0001-99,2025-08-29,10766.69,35429.15,São Paulo,Sudeste
2013,Cliente 2013,22.333.444/0001-88,2023-09-14,8260.72,13714.62,BH,Sudeste
2014,Cliente 2014,22.333.444/0001-88,2024-06-16,12255.17,15568.08,São Paulo,Sudeste
2015,Cliente 2015,22.333.444/0001-88,2023-02-21,418.23,78575.12,São Paulo,Sudeste
2016,Cliente 2016,22.333.444/0001-88,2026-09-23,6392.4,103048.47,São Paulo,Sul
2017,Cliente 2017,11.222.333/0001-99,2026-04-09,4493.41,118272.27,São Paulo,Sul
2018,Cliente 2018,22.333.444/0001-88,2025-12-26,25235.77,104258.29,Rio,Sul
2019,Cliente 2019,11.222.333/0001-99,2023-10-27,1841.91,54523.47,BH,Sul
2020,Cliente 2020,22.333.444/0001-88,2024-11-02,6512.95,83593.17,Rio,Sudeste
2021,Cliente 2021,11.222.333/0001-99,2025-02-16,72647.68,139149.61,Rio,Sudeste
2022,Cliente 2022,11.222.333/0001-99,2025-04-11,4740.98,58136.49,Rio,Sudeste
2023,Cliente 2023,22.333.444/0001-88,2023-08-20,763.27,37860.66,Rio,Sudeste
2024,Cliente 2024,11.222.333/0001-99,2025-09-01,103106.33,77897.9,São Paulo,Sul
2025,Cliente 2025,11.222.333/0001-99,2025-12-27,1804.85,44600.28,São Paulo,Sul
2026,Cliente 2026,22.333.444/0001-88,2023-01-28,1146.32,39272.56,Rio,Sul
2027,Cliente 2027,11.222.333/0001-99,2025-12-10,1211.36,116820.5,Rio,Sul
2028,Cliente 2028,22.333.444/0001-88,2026-07-07,13612.32,133625.38,BH,Sul
2029,Cliente 2029,22.333.444/0001-88,2024-08-13,30239.13,75347.5,Rio,Sul
2030,Cliente 2030,22.333.444/0001-88,2025-02-23,57789.61,116967.43,São Paulo,Sudeste
2031,Cliente 2031,11.222.333/0001-99,2024-09-11,5021.32,28063.41,BH,Sul
2032,Cliente 2032,11.222.333/0001-99,2024-08-08,1234.45,82146.45,Rio,Sudeste
2033,Cliente 2033,11.222.333/0001-99,2025-09-28,2212.94,95429.99,BH,Sul
2034,Cliente 2034,22.333.444/0001-88,2023-07-03,5151.37,73599.63,Rio,Sudeste
2035,Cliente 2035,11.222.333/0001-99,2025-11-12,4771.14,17532.03,BH,Sudeste
2036,Cliente 2036,22.333.444/0001-88,2023-05-09,30687.71,110115.03,BH,Sudeste
2037,Cliente 2037,22.333.444/0001-88,2023-10-18,776.92,125861.73,São Paulo,Sudeste
2038,Cliente 2038,11.222.333/0001-99,2024-05-15,1031.05,95283.94,BH,Sul
2039,Cliente 2039,22.333.444/0001-88,2023-07-05,3185.19,25374.15,Rio,Sudeste
2040,Cliente 2040,11.222.333/0001-99,2024-04-23,8241.07,11182.87,BH,Sul
2041,Cliente 2041,11.222.333/0001-99,2024-05-06,2644.62,45240.59,Rio,Sul
2042,Cliente 2042,11.222.333/0001-99,2024-05-27,2359.69,5548.52,Rio,Sudeste
2043,Cliente 2043,11.222.333/0001-99,2025-12-26,25418.82,125882.85,São Paulo,Sudeste
2044,Cliente 2044,11.222.333/0001-99,2024-04-11,9516.04,105459.07,BH,Sul
2045,Cliente 2045,22.333.444/0001-88,2023-10-12,1238.17,84553.3,São Paulo,Sul
2046,Cliente 2046,22.333.444/0001-88,2024-08-23,2407.65,133444.88,Rio,Sul
2047,Cliente 2047,22.333.444/0001-88,2026-12-11,10132.91,16514.02,BH,Sudeste
2048,Cliente 2048,11.222.333/0001-99,2026-01-28,840.98,107168.96,BH,Sul
2049,Cliente 2049,11.222.333/0001-99,2023-07-08,10046.97,21994.83,Rio,Sudeste
2050,Cliente 2050,11.222.333/0001-99,2025-09-15,3037.17,9138.81,São Paulo,Sudeste
2051,Cliente 2051,22.333.444/0001-88,2025-06-08,8167.61,19935.68,São Paulo,Sudeste
2052,Cliente 2052,11.222.333/0001-99,2024-01-23,5812.76,142641.01,BH,Sudeste
2053,Cliente 2053,22.333.444/0001-88,2023-08-29,1028.34,66065.01,São Paulo,Sudeste
2054,Cliente 2054,22.333.444/0001-88,2024-02-21,2015.72,7349.35,BH,Sudeste
2055,Cliente 2055,11.222.333/0001-99,2023-06-25,37285.56,87545.2,São Paulo,Sul
2056,Cliente 2056,11.222.333/0001-99,2024-01-22,135923.91,29957.11,Rio,Sul
2057,Cliente 2057,22.333.444/0001-88,2025-05-02,425.75,1025.46,Rio,Sul
2058,Cliente 2058,11.222.333/0001-99,2026-06-10,21170.68,113757.87,Rio,Sudeste
2059,Cliente 2059,22.333.444/0001-88,2024-10-24,7434.33,23229.46,BH,Sul
2060,Cliente 2060,11.222.333/0001-99,2024-03-27,90689.47,141372.97,BH,Sudeste
2061,Cliente 2061,11.222.333/0001-99,2023-10-04,2248.65,88919.98,Rio,Sul
2062,Cliente 2062,22.333.444/0001-88,2026-06-06,17285.05,13049.37,Rio,Sul
2063,Cliente 2063,11.222.333/0001-99,2026-04-09,3217.31,32673.66,São Paulo,Sul
2064,Cliente 2064,22.333.444/0001-88,2023-08-01,29553.71,91626.7,Rio,Sul
2065,Cliente 2065,11.222.333/0001-99,2026-07-29,124966.75,50716.91,Rio,Sudeste
2066,Cliente 2066,22.333.444/0001-88,2023-02-10,6622.92,79821.46,Rio,Sul
2067,Cliente 2067,22.333.444/0001-88,2026-02-19,997.7,119926.81,BH,Sudeste
2068,Cliente 2068,11.222.333/0001-99,2026-06-04,35575.83,118890.23,BH,Sudeste
2069,Cliente 2069,22.333.444/0001-88,2023-10-21,10847.34,104698.02,Rio,Sudeste
2070,Cliente 2070,11.222.333/0001-99,2024-08-22,8343.56,132908.15,São Paulo,Sudeste
2071,Cliente 2071,11.222.333/0001-99,2026-07-14,45095.33,29904.1,São Paulo,Sul
2072,Cliente 2072,11.222.333/0001-99,2024-06-24,999.55,26586.22,Rio,Sul
2073,Cliente 2073,22.333.444/0001-88,2024-03-26,1803.25,119902.43,BH,Sudeste
2074,Cliente 2074,22.333.444/0001-88,2025-12-20,11293.37,48133.4,Rio,Sul
2075,Cliente 2075,11.222.333/0001-99,2026-03-16,1747.83,76827.36,São Paulo,Sul
2076,Cliente 2076,11.222.333/0001-99,2025-02-28,3157.66,111592.82,BH,Sudeste
2077,Cliente 2077,22.333.444/0001-88,2023-11-30,29280.43,59389.85,BH,Sudeste
2078,Cliente 2078,11.222.333/0001-99,2025-06-09,9010.4,19524.35,BH,Sul
2079,Cliente 2079,11.222.333/0001-99,2026-03-11,943.54,101918.58,Rio,Sul
2080,Cliente 2080,22.333.444/0001-88,2023-02-13,8701.5,122573.91,Rio,Sul
2081,Cliente 2081,11.222.333/0001-99,2023-05-24,27853.18,1919.59,Rio,Sul
2082,Cliente 2082,22.333.444/0001-88,2023-11-29,6248.85,84382.82,São Paulo,Sudeste
2083,Cliente 2083,11.222.333/0001-99,2025-09-24,16655.87,70410.76,BH,Sul
2084,Cliente 2084,22.333.444/0001-88,2026-11-20,2383.17,38939.4,BH,Sul
2085,Cliente 2085,11.222.333/0001-99,2023-02-24,7071.51,24154.29,São Paulo,Sudeste
2086,Cliente 2086,11.222.333/0001-99,2026-08-23,540.52,28205.6,São Paulo,Sul
2087,Cliente 2087,22.333.444/0001-88,2025-05-19,11868.29,108745.98,BH,Sudeste
2088,Cliente 2088,11.222.333/0001-99,2026-12-17,8137.05,80429.27,BH,Sudeste
2089,Cliente 2089,22.333.444/0001-88,2026-12-11,807.25,147173.16,São Paulo,Sul
2090,Cliente 2090,11.222.333/0001-99,2025-03-07,41325.33,36484.62,Rio,Sul
2091,Cliente 2091,22.333.444/0001-88,2023-11-21,10933.51,143535.63,Rio,Sudeste
2092,Cliente 2092,22.333.444/0001-88,2023-03-21,1863.58,77266.43,Rio,Sul
2093,Cliente 2093,22.333.444/0001-88,2025-11-20,12315.07,21903.96,São Paulo,Sul
2094,Cliente 2094,22.333.444/0001-88,2025-09-11,1238.67,22226.86,BH,Sul
2095,Cliente 2095,11.222.333/0001-99,2026-02-09,1503.28,91285.2,São Paulo,Sul
2096,Cliente 2096,11.222.333/0001-99,2024-07-11,1247.72,124713.41,Rio,Sudeste
2097,Cliente 2097,22.333.444/0001-88,2025-05-14,1198.3,112156.73,Rio,Sudeste
2098,Cliente 2098,22.333.444/0001-88,2024-12-17,9069.37,98344.1,Rio,Sul
2099,Cliente 2099,22.333.444/0001-88,2024-04-16,5610.16,25816.21,São Paulo,Sul
2100,Cliente 2100,11.222.333/0001-99,2023-03-15,14009.76,16251.0,São Paulo,Sudeste
2101,Cliente 2101,11.222.333/0001-99,2024-08-11,94.86,37.2,Rio,Sul
2102,Cliente 2102,11.222.333/0001-99,2026-11-11,2840.81,15269.08,Rio,Sul
2103,Cliente 2103,11.222.333/0001-99,2024-07-17,2897.59,114954.99,BH,Sul
2104,Cliente 2104,22.333.444/0001-88,2026-12-27,5290.61,134287.26,São Paulo,Sudeste
2105,Cliente 2105,22.333.444/0001-88,2026-12-06,5102.47,36052.57,BH,Sul
2106,Cliente 2106,22.333.444/0001-88,2024-04-11,6763.66,119234.14,Rio,Sudeste
2107,Cliente 2107,11.222.333/0001-99,2024-08-21,5565.49,29827.31,Rio,Sudeste
2108,Cliente 2108,11.222.333/0001-99,2025-09-18,2585.52,37390.75,Rio,Sul
2109,Cliente 2109,11.222.333/0001-99,2025-01-06,2809.14,33623.71,BH,Sudeste
2110,Cliente 2110,22.333.444/0001-88,2025-09-20,4564.45,7759.49,São Paulo,Sudeste
2111,Cliente 2111,22.333.444/0001-88,2023-09-05,9961.68,29109.19,São Paulo,Sul
2112,Cliente 2112,11.222.333/0001-99,2026-02-17,5536.61,56031.5,BH,Sudeste
2113,Cliente 2113,22.333.444/0001-88,2023-03-08,1637.2,60820.46,São Paulo,Sudeste
2114,Cliente 2114,11.222.333/0001-99,2024-07-26,1520.24,46419.96,BH,Sul
2115,Cliente 2115,11.222.333/0001-99,2026-09-12,10035.2,77208.79,BH,Sudeste
2116,Cliente 2116,22.333.444/0001-88,2024-12-03,14190.81,56699.73,São Paulo,Sul
2117,Cliente 2117,11.222.333/0001-99,2024-04-14,22013.69,145554.7,São Paulo,Sudeste
2118,Cliente 2118,22.333.444/0001-88,2024-05-07,2471.8,121102.57,BH,Sul
2119,Cliente 2119,11.222.333/0001-99,2024-10-24,354.69,139646.6,São Paulo,Sul
2120,Cliente 2120,22.333.444/0001-88,2023-10-13,8385.86,83614.04,São Paulo,Sudeste
2121,Cliente 2121,22.333.444/0001-88,2023-11-08,1804.64,101750.94,BH,Sudeste
2122,Cliente 2122,22.333.444/0001-88,2023-11-05,4252.58,25001.46,Rio,Sul
2123,Cliente 2123,11.222.333/0001-99,2025-02-13,6048.24,112917.86,BH,Sul
2124,Cliente 2124,11.222.333/0001-99,2026-01-25,10669.13,35395.67,São Paulo,Sul
2125,Cliente 2125,22.333.444/0001-88,2025-08-22,17162.44,21874.94,Rio,Sul
2126,Cliente 2126,22.333.444/0001-88,2026-02-10,25272.92,6278.9,São Paulo,Sudeste
2127,Cliente 2127,11.222.333/0001-99,2024-03-31,31164.84,70834.54,BH,Sudeste
2128,Cliente 2128,11.222.333/0001-99,2023-05-12,5685.45,43018.39,BH,Sudeste
2129,Cliente 2129,11.222.333/0001-99,2025-07-18,462.15,148009.08,BH,Sudeste
2130,Cliente 2130,22.333.444/0001-88,2025-08-22,2093.61,37475.15,Rio,Sul
2131,Cliente 2131,11.222.333/0001-99,2025-07-17,35290.76,129981.49,São Paulo,Sudeste
2132,Cliente 2132,11.222.333/0001-99,2023-05-01,6052.72,47465.82,Rio,Sul
2133,Cliente 2133,22.333.444/0001-88,2026-05-05,103748.45,112369.03,BH,Sudeste
2134,Cliente 2134,11.222.333/0001-99,2024-09-25,2891.18,98976.2,São Paulo,Sudeste
2135,Cliente 2135,11.222.333/0001-99,2025-06-15,125242.64,84267.53,BH,Sudeste
2136,Cliente 2136,11.222.333/0001-99,2025-02-10,4904.4,62523.74,São Paulo,Sul
2137,Cliente 2137,22.333.444/0001-88,2025-11-28,2730.79,100665.75,Rio,Sudeste
2138,Cliente 2138,22.333.444/0001-88,2024-07-19,1814.68,61091.75,Rio,Sudeste
2139,Cliente 2139,22.333.444/0001-88,2024-05-26,12379.48,82215.04,Rio,Sudeste
2140,Cliente 2140,22.333.444/0001-88,2026-03-30,679.75,88470.26,Rio,Sudeste
2141,Cliente 2141,22.333.444/0001-88,2023-10-16,2276.38,40103.28,São Paulo,Sul
2142,Cliente 2142,22.333.444/0001-88,2023-07-19,4565.97,50960.47,São Paulo,Sul
2143,Cliente 2143,22.333.444/0001-88,2024-06-11,208.31,2707.51,Rio,Sudeste
2144,Cliente 2144,11.222.333/0001-99,2025-07-05,4288.06,127823.85,Rio,Sul
2145,Cliente 2145,11.222.333/0001-99,2026-06-25,54649.49,113397.47,São Paulo,Sul
2146,Cliente 2146,22.333.444/0001-88,2026-11-07,8997.81,27529.57,BH,Sul
2147,Cliente 2147,11.222.333/0001-99,2026-05-26,1956.15,54307.27,Rio,Sudeste
2148,Cliente 2148,11.222.333/0001-99,2026-01-15,2517.38,63160.42,São Paulo,Sudeste
2149,Cliente 2149,22.333.444/0001-88,2026-01-10,7879.37,50156.8,Rio,Sul
2150,Cliente 2150,11.222.333/0001-99,2025-12-21,2404.16,119736.42,São Paulo,Sul
2151,Cliente 2151,11.222.333/0001-99,2025-03-09,9470.94,108813.11,Rio,Sudeste
2152,Cliente 2152,11.222.333/0001-99,2025-12-01,2311.0,115073.81,Rio,Sudeste
2153,Cliente 2153,11.222.333/0001-99,2023-01-12,1171.44,135619.51,BH,Sul
2154,Cliente 2154,11.222.333/0001-99,2025-04-12,25670.91,89272.69,BH,Sul
2155,Cliente 2155,22.333.444/0001-88,2025-04-20,13261.97,92180.15,BH,Sul
2156,Cliente 2156,22.333.444/0001-88,2024-10-04,349.39,108290.12,BH,Sudeste
2157,Cliente 2157,22.333.444/0001-88,2026-02-12,3066.83,102184.89,Rio,Sudeste
2158,Cliente 2158,11.222.333/0001-99,2026-05-26,21165.23,130471.95,Rio,Sul
2159,Cliente 2159,22.333.444/0001-88,2023-04-16,3894.82,115529.73,BH,Sul
2160,Cliente 2160,11.222.333/0001-99,2024-11-21,2180.33,18068.79,BH,Sul
2161,Cliente 2161,11.222.333/0001-99,2024-06-11,3451.07,139253.79,Rio,Sudeste
2162,Cliente 2162,11.222.333/0001-99,2025-04-25,5740.4,102464.89,São Paulo,Sudeste
2163,Cliente 2163,11.222.333/0001-99,2025-06-11,3821.93,19071.89,BH,Sul
2164,Cliente 2164,22.333.444/0001-88,2024-01-22,4377.59,115796.06,São Paulo,Sudeste
2165,Cliente 2165,22.333.444/0001-88,2026-06-03,3984.17,53761.88,Rio,Sudeste
2166,Cliente 2166,11.222.333/0001-99,2024-04-25,1257.57,120896.69,São Paulo,Sudeste
2167,Cliente 2167,22.333.444/0001-88,2024-02-12,1170.02,143310.89,BH,Sudeste
2168,Cliente 2168,11.222.333/0001-99,2025-06-16,1068.55,38286.31,BH,Sul
2169,Cliente 2169,22.333.444/0001-88,2024-12-11,5586.45,128611.66,BH,Sudeste
2170,Cliente 2170,22.333.444/0001-88,2024-09-30,11113.01,116034.21,BH,Sul
2171,Cliente 2171,11.222.333/0001-99,2025-11-10,1315.77,100677.74,BH,Sul
2172,Cliente 2172,22.333.444/0001-88,2025-03-25,601.74,57738.08,Rio,Sul
2173,Cliente 2173,11.222.333/0001-99,2025-07-06,1451.21,16479.31,São Paulo,Sudeste
2174,Cliente 2174,22.333.444/0001-88,2023-07-22,35009.16,72584.52,Rio,Sudeste
2175,Cliente 2175,11.222.333/0001-99,2024-02-21,3170.51,15849.99,Rio,Sul
2176,Cliente 2176,11.222.333/0001-99,2024-02-20,3641.97,75022.08,Rio,Sul
2177,Cliente 2177,22.333.444/0001-88,2023-03-26,1608.73,123043.99,São Paulo,Sul
2178,Cliente 2178,22.333.444/0001-88,2023-06-16,10942.27,149645.72,São Paulo,Sul
2179,Cliente 2179,11.222.333/0001-99,2024-01-19,4135.36,29701.31,Rio,Sudeste
2180,Cliente 2180,22.333.444/0001-88,2024-04-12,1777.04,31178.71,São Paulo,Sudeste
2181,Cliente 2181,22.333.444/0001-88,2025-12-31,1160.64,121632.5,Rio,Sudeste
2182,Cliente 2182,11.222.333/0001-99,2025-03-20,8341.4,70358.79,Rio,Sudeste
2183,Cliente 2183,11.222.333/0001-99,2025-09-23,7112.29,137370.69,BH,Sul
2184,Cliente 2184,22.333.444/0001-88,2024-04-17,868.19,115349.44,São Paulo,Sudeste
2185,Cliente 2185,11.222.333/0001-99,2025-09-19,27401.01,110464.16,BH,Sul
2186,Cliente 2186,11.222.333/0001-99,2026-07-05,2000.91,15293.06,Rio,Sudeste
2187,Cliente 2187,11.222.333/0001-99,2023-10-02,218.19,5381.33,Rio,Sudeste
2188,Cliente 2188,22.333.444/0001-88,2025-11-09,41776.45,47514.42,Rio,Sul
2189,Cliente 2189,22.333.444/0001-88,2024-05-04,4257.51,32594.75,BH,Sul
2190,Cliente 2190,11.222.333/0001-99,2023-11-22,9029.56,106846.33,BH,Sul
2191,Cliente 2191,22.333.444/0001-88,2024-06-12,51082.68,67610.06,Rio,Sudeste
2192,Cliente 2192,11.222.333/0001-99,2025-06-10,1207.53,78471.96,BH,Sul
2193,Cliente 2193,22.333.444/0001-88,2023-03-30,9614.9,122061.22,Rio,Sul
2194,Cliente 2194,11.222.333/0001-99,2024-04-30,25475.17,71775.7,Rio,Sudeste
2195,Cliente 2195,11.222.333/0001-99,2024-12-08,1328.34,81738.95,BH,Sul
2196,Cliente 2196,22.333.444/0001-88,2023-12-16,37983.97,126348.04,São Paulo,Sul
2197,Cliente 2197,11.222.333/0001-99,2026-01-12,683.47,64700.37,Rio,Sudeste
2198,Cliente 2198,22.333.444/0001-88,2024-01-22,4300.51,12469.01,Rio,Sul
2199,Cliente 2199,22.333.444/0001-88,2023-03-28,1090.65,78255.78,BH,Sul
2200,Cliente 2200,11.222.333/0001-99,2023-11-03,13019.19,86904.25,BH,Sul
2201,Cliente 2201,11.222.333/0001-99,2026-03-23,1272.13,76769.52,BH,Sul
2202,Cliente 2202,22.333.444/0001-88,2024-03-15,2070.96,38707.43,Rio,Sudeste
2203,Cliente 2203,11.222.333/0001-99,2025-01-09,1435.76,33553.51,São Paulo,Sul
2204,Cliente 2204,11.222.333/0001-99,2023-09-21,913.51,55463.46,São Paulo,Sul
2205,Cliente 2205,11.222.333/0001-99,2025-09-03,1679.5,24934.31,São Paulo,Sudeste
2206,Cliente 2206,11.222.333/0001-99,2025-01-04,4612.55,99903.55,Rio,Sudeste
2207,Cliente 2207,11.222.333/0001-99,2024-02-25,4271.4,92201.24,BH,Sudeste
2208,Cliente 2208,22.333.444/0001-88,2024-05-07,3629.82,94859.34,São Paulo,Sul
2209,Cliente 2209,22.333.444/0001-88,2024-09-24,1933.02,33719.62,São Paulo,Sudeste
2210,Cliente 2210,11.222.333/0001-99,2025-09-19,2985.59,36979.35,São Paulo,Sul
2211,Cliente 2211,11.222.333/0001-99,2024-02-15,533.88,118108.54,Rio,Sudeste
2212,Cliente 2212,11.222.333/0001-99,2023-06-22,1847.19,103516.77,BH,Sul
2213,Cliente 2213,22.333.444/0001-88,2023-01-04,3603.04,131276.98,BH,Sul
2214,Cliente 2214,11.222.333/0001-99,2025-05-03,7421.23,60525.86,BH,Sudeste
2215,Cliente 2215,22.333.444/0001-88,2025-09-12,6255.2,82099.17,BH,Sudeste
2216,Cliente 2216,22.333.444/0001-88,2026-02-07,880.8,110816.66,São Paulo,Sudeste
2217,Cliente 2217,22.333.444/0001-88,2025-11-26,8945.47,146123.25,BH,Sudeste
2218,Cliente 2218,11.222.333/0001-99,2024-08-05,5832.2,148444.77,São Paulo,Sul
2219,Cliente 2219,22.333.444/0001-88,2025-11-20,36909.85,149876.31,Rio,Sudeste
2220,Cliente 2220,11.222.333/0001-99,2024-01-16,606.58,133578.97,Rio,Sul
2221,Cliente 2221,22.333.444/0001-88,2026-07-15,4059.98,95947.62,Rio,Sul
2222,Cliente 2222,11.222.333/0001-99,2025-10-31,20823.32,1045.64,BH,Sudeste
2223,Cliente 2223,22.333.444/0001-88,2023-12-10,3245.43,104931.56,BH,Sul
2224,Cliente 2224,11.222.333/0001-99,2023-06-15,1368.08,35789.93,São Paulo,Sudeste
2225,Cliente 2225,22.333.444/0001-88,2024-11-30,1567.93,8575.07,BH,Sudeste
2226,Cliente 2226,11.222.333/0001-99,2023-12-08,14745.7,104577.66,Rio,Sudeste
2227,Cliente 2227,11.222.333/0001-99,2025-11-08,562.66,113401.64,BH,Sudeste
2228,Cliente 2228,11.222.333/0001-99,2025-09-06,3082.44,98914.97,São Paulo,Sul
2229,Cliente 2229,11.222.333/0001-99,2026-04-22,1441.59,54775.47,Rio,Sudeste
2230,Cliente 2230,22.333.444/0001-88,2024-06-28,1601.49,76650.62,Rio,Sul
2231,Cliente 2231,22.333.444/0001-88,2025-10-30,9120.15,140242.14,São Paulo,Sul
2232,Cliente 2232,11.222.333/0001-99,2023-07-11,2825.92,109441.64,Rio,Sudeste
2233,Cliente 2233,22.333.444/0001-88,2023-11-16,6810.68,75702.64,São Paulo,Sudeste
2234,Cliente 2234,11.222.333/0001-99,2024-08-02,863.67,89017.37,São Paulo,Sul
2235,Cliente 2235,11.222.333/0001-99,2024-04-19,15706.94,139152.54,BH,Sul
2236,Cliente 2236,22.333.444/0001-88,2024-09-28,6619.29,59067.38,Rio,Sudeste
2237,Cliente 2237,11.222.333/0001-99,2024-03-02,27811.67,15276.56,BH,Sul
2238,Cliente 2238,11.222.333/0001-99,2025-12-18,2780.18,48873.94,BH,Sudeste
2239,Cliente 2239,22.333.444/0001-88,2026-12-30,9222.37,62280.03,São Paulo,Sul
2240,Cliente 2240,11.222.333/0001-99,2023-04-07,14716.96,40944.58,São Paulo,Sul
2241,Cliente 2241,11.222.333/0001-99,2024-05-10,8971.9,79345.86,BH,Sul
2242,Cliente 2242,11.222.333/0001-99,2024-10-22,52939.49,45728.68,São Paulo,Sudeste
2243,Cliente 2243,11.222.333/0001-99,2026-07-25,478.9,15476.94,Rio,Sul
2244,Cliente 2244,22.333.444/0001-88,2026-07-12,6276.15,28210.28,Rio,Sudeste
2245,Cliente 2245,22.333.444/0001-88,2023-01-09,2784.44,137723.41,BH,Sul
2246,Cliente 2246,22.333.444/0001-88,2024-04-01,2518.04,94439.34,Rio,Sul
2247,Cliente 2247,11.222.333/0001-99,2023-09-30,39773.19,47146.31,BH,Sul
2248,Cliente 2248,11.222.333/0001-99,2025-07-28,2062.56,55037.69,Rio,Sudeste
2249,Cliente 2249,22.333.444/0001-88,2025-10-28,16219.3,74007.48,São Paulo,Sudeste
2250,Cliente 2250,11.222.333/0001-99,2023-07-27,1123.59,100969.51,Rio,Sudeste
2251,Cliente 2251,11.222.333/0001-99,2026-02-20,20482.35,87326.98,São Paulo,Sudeste
2252,Cliente 2252,11.222.333/0001-99,2025-11-22,4762.69,139904.72,BH,Sul
2253,Cliente 2253,11.222.333/0001-99,2023-07-23,3308.12,93862.32,Rio,Sul
2254,Cliente 2254,22.333.444/0001-88,2024-06-01,571.66,136618.8,São Paulo,Sul
2255,Cliente 2255,22.333.444/0001-88,2024-05-31,3317.76,814.52,São Paulo,Sul
2256,Cliente 2256,22.333.444/0001-88,2024-03-18,1879.09,133583.92,BH,Sul
2257,Cliente 2257,11.222.333/0001-99,2024-11-19,56767.97,108218.79,BH,Sudeste
2258,Cliente 2258,22.333.444/0001-88,2025-04-29,5283.44,25829.02,Rio,Sudeste
2259,Cliente 2259,22.333.444/0001-88,2025-04-12,2132.19,39455.7,Rio,Sudeste
2260,Cliente 2260,11.222.333/0001-99,2023-12-05,2009.45,81421.5,Rio,Sul
2261,Cliente 2261,11.222.333/0001-99,2026-03-05,732.27,18740.72,São Paulo,Sul
2262,Cliente 2262,22.333.444/0001-88,2024-01-22,41406.4,117805.24,BH,Sudeste
2263,Cliente 2263,22.333.444/0001-88,2025-11-14,28532.27,118676.08,Rio,Sul
2264,Cliente 2264,22.333.444/0001-88,2024-05-20,4475.23,45142.35,Rio,Sudeste
2265,Cliente 2265,22.333.444/0001-88,2026-09-10,103889.55,10472.55,São Paulo,Sul
2266,Cliente 2266,11.222.333/0001-99,2024-11-10,4825.45,148327.12,Rio,Sudeste
2267,Cliente 2267,22.333.444/0001-88,2026-09-23,22811.19,37609.33,São Paulo,Sudeste
2268,Cliente 2268,22.333.444/0001-88,2024-11-20,10857.66,10133.8,São Paulo,Sudeste
2269,Cliente 2269,11.222.333/0001-99,2025-06-03,2198.88,49494.74,BH,Sul
2270,Cliente 2270,22.333.444/0001-88,2026-01-23,6344.24,145350.49,São Paulo,Sudeste
2271,Cliente 2271,11.222.333/0001-99,2024-09-14,8281.78,118939.14,BH,Sudeste
2272,Cliente 2272,11.222.333/0001-99,2026-03-15,791.58,72049.96,São Paulo,Sudeste
2273,Cliente 2273,11.222.333/0001-99,2025-06-11,7355.22,45799.56,BH,Sul
2274,Cliente 2274,22.333.444/0001-88,2025-08-10,24277.91,63495.91,São Paulo,Sudeste
2275,Cliente 2275,22.333.444/0001-88,2026-06-08,1866.57,2604.84,Rio,Sul
2276,Cliente 2276,11.222.333/0001-99,2025-02-22,3660.7,107755.57,BH,Sudeste
2277,Cliente 2277,22.333.444/0001-88,2024-05-09,1039.56,14946.64,BH,Sul
2278,Cliente 2278,22.333.444/0001-88,2025-11-27,2500.09,77855.64,São Paulo,Sul
2279,Cliente 2279,11.222.333/0001-99,2026-12-19,2786.98,84876.76,Rio,Sudeste
2280,Cliente 2280,11.222.333/0001-99,2025-01-16,44776.0,253.47,Rio,Sudeste
2281,Cliente 2281,22.333.444/0001-88,2024-03-12,3152.45,146981.79,BH,Sul
2282,Cliente 2282,11.222.333/0001-99,2026-10-23,2339.17,45320.86,Rio,Sul
2283,Cliente 2283,22.333.444/0001-88,2023-12-11,4309.0,11583.64,Rio,Sul
2284,Cliente 2284,22.333.444/0001-88,2026-03-29,450.0,128158.28,São Paulo,Sudeste
2285,Cliente 2285,22.333.444/0001-88,2024-07-03,180.87,22792.89,Rio,Sudeste
2286,Cliente 2286,22.333.444/0001-88,2025-03-30,709.84,3743.27,Rio,Sul
2287,Cliente 2287,11.222.333/0001-99,2024-06-24,7736.81,74203.6,Rio,Sudeste
2288,Cliente 2288,11.222.333/0001-99,2023-05-24,4896.38,19487.55,Rio,Sudeste
2289,Cliente 2289,11.222.333/0001-99,2024-08-10,16593.18,147363.46,São Paulo,Sudeste
